,loss,reconstruction_loss,kl_loss
0,29413278.0,29361662.0,51623.48046875
1,22854206.0,22853528.0,679.0341186523438
2,14460225.0,14456987.0,3239.061279296875
3,12564475.0,12552381.0,12092.048828125
4,11953476.0,11928197.0,25278.46875
5,11580382.0,11545149.0,35233.30859375
6,11268001.0,11227587.0,40413.55078125
7,10948322.0,10906313.0,42008.76171875
8,10619542.0,10580667.0,38875.7890625
9,10286777.0,10252202.0,34574.921875
10,10012454.0,9979691.0,32764.771484375
11,9754710.0,9724069.0,30638.70703125
12,9521172.0,9491614.0,29557.69921875
13,9322314.0,9291941.0,30370.638671875
14,9291485.0,9270996.0,20488.34375
15,9012511.0,8986206.0,26305.79296875
16,8912030.0,8886162.0,25865.47265625
17,8803715.0,8778585.0,25128.5390625
18,8697756.0,8673390.0,24366.439453125
19,8618063.0,8593970.0,24094.21875
20,8521302.0,8497635.0,23666.984375
21,8473736.0,8452910.0,20825.048828125
22,8409383.0,8389800.0,19582.193359375
23,8296036.0,8276695.0,19341.04296875
24,8228767.5,8209352.0,19416.748046875
25,8180566.5,8162283.0,18285.45703125
26,8138338.5,8121546.0,16791.302734375
27,8061939.0,8045912.5,16024.724609375
28,7997387.0,7981868.5,15518.8193359375
29,7966379.5,7951578.0,14801.73828125
30,7898135.0,7883868.0,14268.015625
31,7861097.5,7847362.5,13733.8701171875
32,7795402.0,7781641.5,13759.1572265625
33,7686714.0,7672500.5,14214.9970703125
34,7567647.5,7552963.5,14683.8486328125
35,7467867.0,7453029.5,14837.845703125
36,7404716.5,7389684.5,15029.5908203125
37,7362028.5,7346838.0,15190.525390625
38,7324007.0,7308871.5,15136.6552734375
39,7288407.0,7273660.0,14747.720703125
40,7247996.5,7233867.0,14128.9970703125
41,7191968.5,7177854.5,14113.607421875
42,7157321.0,7143490.0,13831.5576171875
43,7117240.0,7103701.0,13537.197265625
44,7082373.5,7069033.0,13340.1005859375
45,7057837.0,7045053.5,12783.265625
46,7017285.0,7004926.0,12359.0732421875
47,6981007.5,6968842.0,12164.3740234375
48,6943194.0,6931317.0,11877.5810546875
49,6924241.0,6912629.0,11612.0029296875
50,6912093.5,6900884.5,11209.0517578125
51,6866661.0,6855770.0,10892.2763671875
52,6839827.5,6828748.5,11079.595703125
53,6821521.5,6810678.0,10843.927734375
54,6798024.0,6787499.5,10525.3818359375
55,6746757.5,6736384.0,10374.0244140625
56,6722686.5,6712411.0,10276.123046875
57,6700368.5,6690311.5,10055.8251953125
