,loss,reconstruction_loss,kl_loss
0,29477660.0,29451106.0,26550.138671875
1,18524806.0,18512884.0,11919.5263671875
2,4079590.75,4067744.75,11846.4482421875
3,2682009.5,2673098.5,8911.30859375
4,2420094.75,2412510.0,7585.03662109375
5,2255110.25,2247308.0,7802.4189453125
6,2035423.125,2026796.375,8626.791015625
7,1628552.875,1614403.75,14149.4599609375
8,1448734.5,1432411.875,16322.6357421875
9,1387243.75,1373509.875,13733.640625
10,1344226.875,1331102.375,13124.265625
11,1319387.25,1307133.0,12254.30078125
12,1296184.875,1284327.875,11856.9736328125
13,1277628.25,1266477.875,11150.427734375
14,1252868.875,1242138.5,10730.5263671875
15,1227820.25,1217264.875,10555.1796875
16,1206530.75,1196603.625,9926.9599609375
17,1186681.625,1177144.375,9537.5205078125
18,1172749.125,1163517.625,9231.572265625
19,1158768.375,1150022.125,8746.3681640625
20,1148910.0,1140486.0,8423.8544921875
21,1136756.125,1128485.125,8270.8486328125
22,1126495.0,1118513.0,7982.04638671875
23,1115916.25,1108182.5,7733.57861328125
24,1106055.375,1098600.0,7455.32568359375
25,1093802.625,1086476.375,7326.34228515625
26,1085752.875,1078549.25,7203.68798828125
27,1079278.5,1072213.5,7065.10986328125
28,1069495.625,1062600.375,6895.2314453125
29,1059051.125,1052325.875,6725.4814453125
30,1049817.5,1043041.0,6776.59912109375
31,1039893.0,1033276.4375,6616.48095703125
32,1031282.75,1024704.5,6578.15087890625
33,1022411.8125,1015976.6875,6435.18505859375
34,1012255.3125,1005879.0625,6376.34423828125
35,1004444.75,998094.625,6349.912109375
36,998640.75,992436.75,6204.333984375
37,991077.4375,984935.0,6142.3994140625
38,985763.25,979718.375,6044.83984375
39,979899.5625,974048.1875,5851.43408203125
40,974548.1875,968745.5625,5802.86767578125
41,968325.5625,962626.875,5698.6171875
42,963371.6875,957776.3125,5595.14208984375
43,960100.6875,954574.5625,5526.04052734375
44,957732.6875,952337.25,5395.43408203125
45,952078.5625,946807.375,5271.375
46,946026.0625,940717.375,5308.7607421875
47,941918.375,936724.3125,5194.0849609375
48,939413.25,934294.375,5118.90380859375
49,935782.625,930738.1875,5044.41796875
50,931825.125,926824.875,5000.349609375
51,926870.875,921973.9375,4896.927734375
52,923996.0,919160.1875,4835.94677734375
53,920866.125,916123.5,4742.3388671875
54,916915.0,912207.0625,4707.6982421875
55,913758.75,909131.0,4627.6015625
56,911998.125,907433.5625,4564.76611328125
57,908971.375,904436.0625,4535.4306640625
58,903113.8125,898689.0,4424.52783203125
59,898064.0,893680.9375,4382.96533203125
60,893966.75,889668.5,4298.19140625
61,892468.6875,888198.5625,4270.099609375
62,886772.5,882541.25,4231.396484375
63,883376.25,879202.375,4173.72021484375
64,881297.875,877199.6875,4098.0966796875
65,880401.625,876382.3125,4019.19140625
66,876720.4375,872790.0625,3930.415771484375
67,873544.6875,869635.0,3909.758056640625
68,868894.375,865018.625,3875.879638671875
69,866523.9375,862681.6875,3842.28466796875
70,861948.3125,858155.125,3793.163330078125
71,859802.375,856055.0625,3747.50244140625
72,858379.125,854688.9375,3690.19677734375
73,858385.625,854749.375,3636.287353515625
74,853926.125,850388.1875,3537.774658203125
75,853215.125,849687.25,3527.91552734375
76,851559.75,848094.625,3465.08251953125
77,852236.0625,848805.625,3430.35400390625
78,845134.0625,841747.5625,3386.62255859375
79,842854.3125,839477.125,3377.00537109375
80,840538.3125,837233.5625,3304.68408203125
81,837780.0625,834500.5,3279.540283203125
82,833945.625,830674.4375,3271.127685546875
83,834887.0625,831651.0,3236.258544921875
84,831044.1875,827867.125,3177.078857421875
85,832632.5,829499.3125,3133.025146484375
86,829762.3125,826724.625,3037.839111328125
87,826045.125,823000.875,3044.195068359375
88,823720.0,820691.0,3028.9013671875
89,820617.4375,817628.6875,2988.63037109375
90,818924.1875,815976.5,2947.688232421875
91,816473.1875,813557.0,2916.2392578125
92,814860.1875,811943.125,2916.7841796875
93,815200.1875,812357.125,2843.148681640625
94,813935.375,811142.3125,2793.16015625
95,811375.0625,808626.875,2748.39453125
96,806815.0,804104.75,2710.218017578125
97,803896.625,801195.75,2700.929931640625
98,805904.9375,803225.0,2679.87744140625
99,804749.8125,802156.75,2593.1318359375
100,798086.625,795476.75,2609.965087890625
101,798483.3125,795883.9375,2599.48876953125
102,794533.25,791961.6875,2571.615478515625
103,791416.9375,788858.875,2557.998291015625
104,789799.0625,787259.375,2539.66064453125
105,787177.25,784679.5,2497.795166015625
106,785419.375,782955.9375,2463.55078125
107,786231.0,783804.0,2427.110595703125
108,790767.5625,788429.8125,2337.664306640625
109,782091.9375,779784.1875,2307.62255859375
110,776140.4375,773813.25,2327.124755859375
111,772147.75,769819.0625,2328.736083984375
112,771286.625,769008.6875,2277.927001953125
113,771934.4375,769694.4375,2240.04638671875
114,765204.3125,762955.0625,2249.28759765625
115,762597.4375,760390.625,2206.787353515625
116,759232.5,757020.25,2212.332763671875
117,756875.9375,754699.5625,2176.3505859375
118,753716.3125,751565.4375,2151.0419921875
119,752711.9375,750571.375,2140.523681640625
120,752310.8125,750191.9375,2118.835693359375
121,745698.0625,743595.6875,2102.357421875
122,741936.6875,739823.0,2113.66650390625
123,743221.4375,741145.6875,2075.610595703125
124,740828.25,738774.4375,2053.693603515625
125,735960.4375,733900.25,2060.065673828125
126,734605.375,732540.75,2065.01220703125
127,728724.625,726664.625,2059.975341796875
128,724746.75,722705.4375,2041.2684326171875
129,720763.9375,718711.6875,2052.302490234375
130,720948.4375,718907.125,2041.2496337890625
131,722351.375,720334.8125,2016.665283203125
132,717559.125,715568.5,1990.7894287109375
133,714844.875,712842.4375,2002.408935546875
134,714122.875,712127.875,1994.9122314453125
135,711255.125,709261.375,1993.7794189453125
136,705908.8125,703898.1875,2010.68798828125
137,704814.9375,702789.9375,2024.9765625
138,701509.1875,699478.875,2030.20458984375
139,697131.6875,695098.3125,2033.504150390625
140,696827.3125,694775.125,2052.079833984375
141,695651.0,693603.1875,2047.9488525390625
142,696466.9375,694404.125,2062.920166015625
143,700418.5,698387.9375,2030.6280517578125
144,690500.4375,688455.6875,2044.8924560546875
145,695066.625,693018.3125,2048.356201171875
146,688452.625,686427.25,2025.4376220703125
147,682486.5,680447.125,2039.32275390625
148,679651.0,677612.4375,2038.5587158203125
149,677488.625,675444.4375,2044.051025390625
150,679410.4375,677379.6875,2030.818359375
151,676423.75,674408.3125,2015.365966796875
152,676605.3125,674613.6875,1991.6207275390625
153,674928.1875,672933.0625,1995.182861328125
154,669893.0,667897.1875,1995.791259765625
155,672301.375,670319.375,1981.85888671875
156,673444.3125,671484.875,1959.316650390625
157,674465.6875,672508.1875,1957.5274658203125
158,668272.4375,666333.375,1939.089599609375
159,661388.75,659428.6875,1959.948974609375
160,657642.0,655680.75,1961.42431640625
161,655993.875,654037.0,1956.9813232421875
162,656695.6875,654750.1875,1945.727783203125
163,655207.6875,653265.125,1942.4720458984375
164,653876.75,651952.75,1923.9263916015625
165,654145.6875,652210.625,1935.1131591796875
166,654119.9375,652214.6875,1905.1773681640625
167,652749.125,650846.75,1902.31982421875
168,651389.75,649496.1875,1893.389404296875
169,651140.3125,649267.5625,1872.643798828125
170,652184.375,650313.3125,1871.06787109375
171,654692.1875,652833.5,1858.6046142578125
172,652197.0,650348.3125,1848.7191162109375
173,651478.875,649637.75,1841.13427734375
174,643117.9375,641261.6875,1856.1634521484375
175,637241.375,635390.1875,1851.23388671875
176,636671.0,634815.6875,1855.400634765625
177,637313.8125,635476.625,1837.2716064453125
178,635379.6875,633551.5625,1828.0032958984375
179,634107.8125,632268.5,1839.331298828125
180,633423.9375,631596.5625,1827.274658203125
181,630141.8125,628342.4375,1799.3424072265625
182,628781.75,626976.0,1805.8045654296875
183,633065.0625,631285.8125,1779.1746826171875
184,639880.4375,638109.375,1771.0467529296875
185,637824.625,636081.375,1743.3118896484375
186,630004.6875,628252.875,1751.7799072265625
187,625158.125,623400.375,1757.673828125
188,620420.1875,618634.0625,1786.18505859375
189,619803.5625,618032.4375,1771.04833984375
190,623612.3125,621851.5625,1760.875
191,623587.4375,621836.3125,1751.1824951171875
192,623550.5625,621829.375,1721.0472412109375
193,619993.3125,618287.5625,1705.7855224609375
194,617738.1875,616017.5625,1720.6337890625
195,616139.125,614416.6875,1722.488525390625
196,614024.25,612308.75,1715.466552734375
197,611926.625,610209.125,1717.36767578125
198,616136.875,614428.375,1708.3828125
199,622439.6875,620751.9375,1687.818115234375
200,610319.8125,608638.875,1681.02294921875
201,607182.875,605496.3125,1686.6778564453125
202,610980.3125,609289.125,1691.0194091796875
203,607140.0625,605451.6875,1688.3585205078125
204,604359.9375,602692.625,1667.3009033203125
205,602886.5,601203.9375,1682.456787109375
206,601938.875,600264.25,1674.7100830078125
207,599809.9375,598138.625,1671.2720947265625
208,600288.5,598618.375,1670.177001953125
209,602211.0625,600558.875,1652.112548828125
210,601638.1875,599997.5625,1640.550537109375
211,608332.0,606699.3125,1632.6126708984375
212,598296.4375,596681.375,1615.1949462890625
213,594122.1875,592480.75,1641.40380859375
214,593471.5625,591844.875,1626.7747802734375
215,591372.625,589732.3125,1640.183837890625
216,589571.8125,587951.6875,1620.1685791015625
217,588949.125,587331.8125,1617.4012451171875
218,591933.125,590324.0,1608.9259033203125
219,592260.75,590664.75,1596.06005859375
220,594933.0,593334.125,1598.818359375
221,600702.375,599131.0625,1571.442138671875
222,591008.5,589455.9375,1552.6827392578125
223,587473.9375,585914.5625,1559.3714599609375
224,586617.375,585062.125,1555.326416015625
225,584126.625,582569.125,1557.4544677734375
226,587310.875,585753.25,1557.743408203125
227,584091.4375,582535.9375,1555.5657958984375
228,582781.375,581233.1875,1548.1605224609375
229,581812.3125,580268.125,1544.2701416015625
230,586622.625,585085.125,1537.4888916015625
231,581903.4375,580369.6875,1533.739501953125
232,583662.8125,582135.4375,1527.2799072265625
233,589592.4375,588075.8125,1516.67822265625
234,581802.4375,580291.8125,1510.73291015625
235,579502.25,577984.4375,1517.6378173828125
236,575726.3125,574206.875,1519.315185546875
237,573385.75,571869.0,1516.698486328125
238,573943.8125,572432.0625,1511.6829833984375
239,574771.0,573264.0625,1506.970947265625
240,572856.625,571354.625,1501.854736328125
241,571626.3125,570127.9375,1498.34228515625
242,573614.625,572125.0625,1489.45556640625
243,582000.3125,580529.625,1470.6571044921875
244,577833.3125,576381.8125,1451.52392578125
245,571175.75,569706.3125,1469.4544677734375
246,569185.9375,567708.8125,1477.03662109375
247,571149.125,569697.5625,1451.724365234375
248,571018.75,569562.1875,1456.618896484375
249,569568.125,568118.75,1449.353515625
250,577571.5625,576145.1875,1426.32080078125
251,582889.375,581471.8125,1417.5584716796875
252,576141.4375,574736.3125,1404.9283447265625
253,569870.1875,568461.3125,1408.802001953125
254,566905.9375,565487.6875,1418.2122802734375
255,565559.4375,564142.1875,1417.299560546875
256,567676.3125,566253.375,1422.8084716796875
257,569608.4375,568197.5,1410.8580322265625
258,566037.5625,564627.6875,1409.76611328125
259,571259.9375,569856.875,1403.02978515625
260,569846.4375,568463.375,1383.2489013671875
261,570370.6875,568984.5,1386.2042236328125
262,567832.0625,566443.125,1388.9537353515625
263,560400.4375,559016.25,1384.201171875
264,559556.625,558171.0,1385.4801025390625
265,565264.0625,563883.0625,1381.0474853515625
266,563321.6875,561955.8125,1365.857421875
267,561841.125,560476.75,1364.447509765625
268,559613.8125,558252.875,1361.006103515625
269,560195.75,558838.125,1357.669921875
270,561594.4375,560240.3125,1354.0946044921875
271,561953.0,560603.8125,1349.19873046875
272,563288.0625,561957.0,1331.2198486328125
273,564614.4375,563281.125,1333.2454833984375
274,560576.0625,559234.0625,1342.05712890625
275,561334.0625,559994.75,1339.3016357421875
276,564641.375,563318.0625,1323.347900390625
277,564706.75,563394.25,1312.453369140625
278,564371.75,563061.4375,1310.4649658203125
279,559585.1875,558277.0,1308.1502685546875
280,559529.5625,558229.375,1300.0765380859375
281,557850.6875,556549.75,1300.868896484375
282,559625.6875,558314.625,1311.1412353515625
283,560807.25,559530.75,1276.6109619140625
284,558070.25,556779.9375,1290.1361083984375
285,557351.375,556063.3125,1288.029296875
286,552990.0,551701.8125,1288.1749267578125
287,553380.875,552096.8125,1284.0059814453125
288,551745.8125,550464.9375,1280.868896484375
289,552973.5625,551703.0,1270.5382080078125
290,553587.5625,552318.6875,1268.822509765625
291,557629.6875,556365.6875,1264.0086669921875
292,556724.3125,555474.3125,1249.9730224609375
293,562025.125,560782.875,1242.405517578125
294,561360.0625,560122.3125,1237.5626220703125
295,554688.0,553442.1875,1245.7159423828125
296,551870.1875,550630.5,1239.5599365234375
297,551365.125,550132.0,1233.0364990234375
298,550164.4375,548925.1875,1239.2305908203125
299,550295.375,549052.875,1242.5120849609375
300,555818.75,554595.125,1223.6331787109375
301,555782.75,554568.75,1214.092041015625
302,556407.6875,555193.5625,1214.0989990234375
303,553382.3125,552172.625,1209.6519775390625
304,551347.375,550135.6875,1211.6768798828125
305,550662.6875,549459.9375,1202.8043212890625
306,550496.1875,549294.3125,1201.8912353515625
307,550057.6875,548855.9375,1201.8026123046875
308,550986.25,549790.75,1195.52294921875
309,553155.6875,551964.9375,1190.735107421875
310,550515.4375,549329.6875,1185.8255615234375
311,547148.0625,545958.6875,1189.4862060546875
312,547457.75,546273.3125,1184.419921875
313,551234.4375,550060.1875,1174.2113037109375
314,552157.0625,550987.0625,1169.9422607421875
315,559617.25,558463.875,1153.52587890625
316,553805.8125,552644.25,1161.457763671875
317,549507.9375,548355.375,1152.4031982421875
318,546288.875,545122.3125,1166.5584716796875
319,544832.0625,543663.375,1168.7637939453125
320,544806.375,543640.25,1166.076171875
321,549069.125,547912.0625,1157.093994140625
322,553169.375,552023.6875,1145.80810546875
323,555499.0625,554361.9375,1137.162109375
324,562603.4375,561458.8125,1144.5966796875
325,549339.125,548203.9375,1135.08837890625
326,547302.4375,546172.25,1130.1572265625
327,544284.375,543153.6875,1130.782958984375
328,546030.1875,544894.5,1135.8218994140625
329,549220.75,548095.5625,1125.134033203125
330,550159.4375,549036.25,1123.224853515625
331,544959.6875,543841.375,1118.2896728515625
332,542694.375,541568.3125,1126.1002197265625
333,543520.5,542398.0,1122.3970947265625
334,546875.0625,545755.25,1119.8240966796875
335,545435.0,544320.25,1114.725341796875
336,547426.5,546314.3125,1112.0556640625
337,544739.25,543636.6875,1102.490478515625
338,544185.5625,543087.4375,1098.239013671875
339,542091.9375,540994.1875,1097.7813720703125
340,539689.25,538589.3125,1099.8887939453125
341,540645.125,539548.1875,1096.9969482421875
342,544989.8125,543900.1875,1089.7020263671875
343,543293.1875,542206.4375,1086.756591796875
344,542543.0625,541459.5,1083.483154296875
345,541429.3125,540344.625,1084.664306640625
346,541491.8125,540406.875,1084.986572265625
347,542160.0625,541085.75,1074.233154296875
348,542987.0,541917.375,1069.55615234375
349,540046.875,538980.1875,1066.78271484375
350,538253.375,537186.625,1066.7376708984375
351,541471.8125,540409.1875,1062.630615234375
352,546542.6875,545492.75,1049.8602294921875
353,546463.625,545410.875,1052.705810546875
354,545940.875,544890.125,1050.80126953125
355,540716.875,539668.3125,1048.6490478515625
356,538215.1875,537160.3125,1054.7376708984375
357,541240.75,540183.75,1056.943603515625
358,545206.1875,544160.625,1045.490478515625
359,545730.4375,544689.0,1041.33837890625
360,542139.5,541099.875,1039.6014404296875
361,540315.5625,539269.3125,1046.249267578125
362,540424.875,539384.6875,1040.060546875
363,537522.9375,536485.8125,1037.1593017578125
364,539863.125,538827.375,1035.7559814453125
365,540020.5625,538993.8125,1026.72705078125
366,535854.0625,534825.3125,1028.661865234375
367,539261.375,538229.9375,1031.38427734375
368,539559.375,538535.375,1023.9548950195312
369,537746.3125,536719.625,1026.732421875
370,535522.9375,534498.125,1024.7662353515625
371,543362.875,542347.5,1015.4475708007812
372,541456.3125,540447.5,1008.7947998046875
373,539685.25,538675.875,1009.4658203125
374,540832.625,539824.4375,1008.200439453125
375,540018.5625,539018.0625,1000.4822387695312
376,536639.1875,535629.4375,1009.8492431640625
377,535955.25,534947.25,1008.05419921875
378,535039.5625,534032.3125,1007.3366088867188
379,533106.0625,532097.5625,1008.4452514648438
380,534061.9375,533057.25,1004.6876831054688
381,532431.375,531428.3125,1003.0631713867188
382,531542.0,530542.5,999.4393920898438
383,531834.1875,530836.4375,997.7263793945312
384,534974.125,533976.9375,997.2430419921875
385,538755.125,537767.5625,987.5252685546875
386,544885.1875,543899.0625,986.1004638671875
387,538448.75,537470.0625,978.8060302734375
388,535384.375,534408.8125,975.563720703125
389,536929.4375,535948.625,980.930908203125
390,542808.375,541836.4375,972.0108642578125
391,542344.875,541370.875,973.9649047851562
392,539872.875,538891.125,981.9434204101562
393,533551.25,532574.6875,976.6633911132812
394,534719.25,533734.875,984.3906860351562
395,535490.625,534508.625,981.9005126953125
396,534343.0,533370.4375,972.5181274414062
397,528880.125,527912.625,967.4381103515625
398,528376.6875,527407.3125,969.4552001953125
399,531597.875,530631.3125,966.7049560546875
400,535931.1875,534969.5,961.6467895507812
401,539686.4375,538734.75,951.6390380859375
402,535521.5625,534573.875,947.8079223632812
403,536666.4375,535715.9375,950.472412109375
404,533199.375,532254.625,944.6376953125
405,535394.75,534447.25,947.5091552734375
406,537629.8125,536676.4375,953.3194580078125
407,532466.875,531523.1875,943.7050170898438
408,532087.125,531143.6875,943.3150634765625
409,531896.75,530949.4375,947.3717651367188
410,538437.375,537493.6875,943.6845703125
411,534458.75,533517.8125,940.9912719726562
412,533988.1875,533047.25,940.9949340820312
413,534979.6875,534038.875,940.8106079101562
414,534225.0,533287.5625,937.4607543945312
415,534485.5625,533550.4375,935.129150390625
416,535124.0625,534191.0625,932.9165649414062
417,534676.1875,533749.375,926.842529296875
418,533928.1875,532997.9375,930.1737670898438
419,529255.5,528314.4375,940.9795532226562
420,527684.875,526744.6875,940.17236328125
421,529688.625,528753.125,935.4470825195312
422,532339.375,531408.9375,930.3607177734375
423,529681.9375,528751.5,930.4796142578125
424,530385.25,529458.625,926.5140380859375
425,531539.5625,530614.3125,925.2649536132812
426,536307.375,535385.875,921.6008911132812
427,532503.375,531581.625,921.6787719726562
428,529821.125,528902.0625,919.0806274414062
429,530255.75,529340.8125,914.9370727539062
430,530335.0,529414.4375,920.5963134765625
431,535459.4375,534548.875,910.4777221679688
432,533470.9375,532559.0625,911.8480834960938
433,529416.8125,528509.1875,907.7177734375
434,528678.75,527768.375,910.2789306640625
435,526070.75,525160.3125,910.3643798828125
436,526906.9375,525999.5625,907.356201171875
437,526111.6875,525208.0625,903.7481689453125
438,529638.3125,528735.5,902.8425903320312
439,532801.4375,531898.0,903.4852905273438
440,535643.125,534748.6875,894.4530639648438
441,532463.875,531565.875,897.998779296875
442,530357.375,529461.75,895.608642578125
443,530015.125,529118.0625,897.128173828125
444,528139.75,527242.625,897.0093994140625
445,530510.625,529617.25,893.1974487304688
446,529939.3125,529044.0625,895.2280883789062
447,528434.875,527542.5625,892.3593139648438
448,526735.125,525842.4375,892.7210693359375
449,523184.34375,522296.96875,887.3560791015625
450,524998.8125,524109.96875,888.8236083984375
451,528546.1875,527663.125,883.0045776367188
452,532832.75,531948.375,884.4417114257812
453,530761.6875,529883.5625,878.0438232421875
454,527579.25,526703.75,875.445068359375
455,526727.5,525844.6875,882.8150024414062
456,527846.625,526970.0625,876.4938354492188
457,526788.875,525911.5625,877.2465209960938
458,525559.6875,524685.375,874.324951171875
459,523630.84375,522752.84375,878.0567016601562
460,524729.6875,523852.09375,877.5833740234375
461,525710.75,524838.1875,872.5570678710938
462,527788.875,526915.6875,873.1689453125
463,531657.0625,530786.6875,870.3379516601562
464,540030.5,539167.5625,862.9345703125
465,534168.875,533309.375,859.4373168945312
466,531061.25,530200.0625,861.1721801757812
467,526273.8125,525407.0,866.7605590820312
468,523173.78125,522303.28125,870.4314575195312
469,522038.78125,521168.90625,869.946533203125
470,523918.84375,523053.4375,865.4729614257812
471,523856.21875,522991.84375,864.4658203125
472,521996.03125,521132.78125,863.3331909179688
473,522088.71875,521227.6875,860.94140625
474,526328.5,525469.125,859.2654418945312
475,526740.625,525886.375,854.1546630859375
476,527348.875,526493.6875,855.2430419921875
477,530011.3125,529162.5625,848.7952880859375
478,526783.125,525931.0625,852.121337890625
479,522706.96875,521856.25,850.5679931640625
480,520723.75,519869.5625,854.1668701171875
481,521706.6875,520849.53125,857.2401733398438
482,530047.75,529192.0,855.7691040039062
483,529043.375,528193.25,850.0970458984375
484,524762.625,523918.4375,844.2824096679688
485,523606.5,522757.5,849.1210327148438
486,523552.09375,522702.59375,849.4555053710938
487,524485.25,523640.59375,844.5804443359375
488,522613.75,521772.21875,841.5819702148438
